date,time,latitude,longitude,bearing,speed,altitude,temperature,pressure
06/25/2017,09:40:36,+045.09383,-074.37634,0356,0000,+000056,+013.9,100695
06/25/2017,09:40:42,+045.09381,-074.37632,0347,0000,+000056,+013.9,100691
06/25/2017,09:40:48,+045.09381,-074.37631,0347,0000,+000056,+013.9,100699
06/25/2017,09:40:54,+045.09381,-074.37631,0347,0000,+000056,+014.0,100697
06/25/2017,09:41:00,+045.09381,-074.37631,0347,0000,+000056,+014.0,100690
06/25/2017,09:41:06,+045.09381,-074.37631,0347,0000,+000056,+014.0,100696
06/25/2017,09:41:12,+045.09381,-074.37631,0347,0000,+000056,+014.0,100690
06/25/2017,09:41:18,+045.09381,-074.37631,0347,0000,+000056,+014.0,100703
06/25/2017,09:41:24,+045.09380,-074.37631,0347,0000,+000056,+014.0,100699
06/25/2017,09:41:30,+045.09379,-074.37631,0347,0000,+000057,+014.1,100684
06/25/2017,09:41:36,+045.09379,-074.37631,0347,0000,+000058,+014.1,100687
06/25/2017,09:41:42,+045.09378,-074.37630,0347,0000,+000058,+014.1,100697
06/25/2017,09:41:48,+045.09378,-074.37630,0347,0000,+000058,+014.1,100695
06/25/2017,09:41:54,+045.09378,-074.37630,0347,0000,+000058,+014.2,100689
06/25/2017,09:42:00,+045.09378,-074.37630,0347,0000,+000058,+014.2,100691
06/25/2017,09:42:06,+045.09378,-074.37630,0347,0000,+000058,+014.3,100688
06/25/2017,09:42:12,+045.09378,-074.37630,0347,0000,+000058,+014.3,100693
06/25/2017,09:42:18,+045.09378,-074.37630,0347,0000,+000058,+014.4,100688
06/25/2017,09:42:24,+045.09378,-074.37630,0347,0000,+000058,+014.4,100690
06/25/2017,09:42:30,+045.09378,-074.37630,0347,0000,+000058,+014.5,100696
06/25/2017,09:42:36,+045.09379,-074.37629,0347,0000,+000058,+014.5,100689
06/25/2017,09:42:42,+045.09379,-074.37629,0347,0000,+000058,+014.6,100683
06/25/2017,09:42:48,+045.09379,-074.37629,0347,0000,+000058,+014.6,100689
06/25/2017,09:42:54,+045.09379,-074.37629,0347,0000,+000058,+014.7,100692
06/25/2017,09:43:00,+045.09379,-074.37628,0347,0000,+000058,+014.7,100688
06/25/2017,09:43:06,+045.09379,-074.37628,0347,0000,+000059,+014.7,100691
06/25/2017,09:43:12,+045.09379,-074.37628,0347,0000,+000059,+014.6,100687
06/25/2017,09:43:18,+045.09379,-074.37628,0347,0000,+000059,+014.6,100685
06/25/2017,09:43:24,+045.09379,-074.37628,0347,0000,+000059,+014.7,100702
06/25/2017,09:43:30,+045.09379,-074.37628,0347,0000,+000059,+014.6,100686
06/25/2017,09:43:36,+045.09378,-074.37628,0347,0000,+000059,+014.7,100693
06/25/2017,09:43:42,+045.09378,-074.37628,0347,0000,+000059,+014.6,100687
06/25/2017,09:43:48,+045.09378,-074.37629,0347,0000,+000059,+014.6,100691
06/25/2017,09:43:54,+045.09378,-074.37629,0347,0000,+000059,+014.6,100679
06/25/2017,09:44:00,+045.09377,-074.37630,0347,0000,+000059,+014.6,100692
06/25/2017,09:44:06,+045.09377,-074.37630,0347,0000,+000059,+014.5,100685
06/25/2017,09:44:12,+045.09377,-074.37630,0347,0000,+000059,+014.6,100691
06/25/2017,09:44:18,+045.09377,-074.37629,0347,0000,+000060,+014.6,100693
06/25/2017,09:44:24,+045.09377,-074.37629,0347,0000,+000060,+014.6,100687
06/25/2017,09:44:30,+045.09377,-074.37629,0347,0000,+000060,+014.6,100693
